Name,Address,Deposit,Update,Machine
成功大學郵局(臺南7支),臺南市東區大學路１號（光復校區內，近大學路西段校門口）,o,o,o
臺南德高厝郵局(臺南12支),臺南市東區崇德路678號,o,o,o
臺南東城郵局(臺南18支),臺南市東區府連路433、435號,o,o,o
臺南東門郵局(臺南26支),臺南市東區東門路二段216號,o,o,o
臺南東寧路郵局(臺南28支),臺南市東區東寧路323號,o,o,o
臺南小東郵局(臺南40支),臺南市東區東和路45、47、49號,o,o,o
臺南虎尾寮郵局(臺南49支),臺南市東區自由路三段386號,o,o,o
成功大學成杏校區--大門左側,臺南市東區大學路1號,x,x,x
復興國中--大門左側,臺南市東區裕文路62號,x,x,x
國道高速公路局南區工程處--行政辦公處旁,臺南市東區裕農路991號,x,x,o
成功大學光復校區--大門右側,臺南市東區大學路1號,x,x,x
臺南一中--勝利路大門右側,臺南市東區民族路1段1號,x,x,x
臺南監理站--大門左側,臺南市東區林森路1段260號,x,x,x
臺南榮家--大門左側,臺南市東區崇明路190號,x,o,x
後甲國中--林森路大門左側,臺南市東區東平路260號,x,x,x
成功大學自強校區--大門右側,臺南市東區大學路1號,x,x,x
成功大學成功校區--大門右側,臺南市東區大學路1號,x,x,o
成功大學光復校區--正門守衛室旁,臺南市東區大學路1號,x,x,o
